263	gānzào	干燥
264	gǎn	敢
265	gǎndòng	感动
266	gǎnjué	感觉
267	gǎnmào	感冒
268	gǎnqíng	感情
269	gǎnxiè	感谢
270	gàn	干
271	gāngcái	刚才
272	gānggāng	刚刚
273	gāo	高
274	gāojí	高级
275	gāoxìng	高兴
276	gàosu	告诉
277	gēge	哥哥
278	gè	各
279	gè	个
280	gèzi	个子
281	gěi	给
282	gēn	跟
283	gēnjù	根据
284	gèng	更
285	gōnggòngqìchē	公共汽车
286	gōngjīn	公斤
287	gōnglǐ	公里
288	gōngsī	公司
289	gōngyuán	公园
290	gōngjù	工具
291	gōngzī	工资
292	gōngzuò	工作
293	gòngtóng	共同
294	gǒu	狗
295	gòu	够
296	gòuwù	购物
297	gūdān	孤单
298	gūjì	估计
299	gǔlì	鼓励
300	gǔzhǎng	鼓掌
301	gùkè	顾客
302	gùshi	故事
303	gùyì	故意
304	guāfēng	刮风
305	guà	挂
306	guān	关
307	guānjiàn	关键
308	guānxì	关系
309	guānxīn	关心
310	guānyú	关于
311	guānzhòng	观众
312	guǎnlǐ	管理
313	guāng	光
314	guǎngbō	广播
315	guǎnggào	广告
316	guàng	逛
317	guīdìng	规定
318	guì	贵
319	guójì	国际
320	guójiā	国家
321	guǒrán	果然
322	guǒzhī	果汁
323	guò	过（动）
324	guo	过（助）
325	guòchéng	过程
326	guòqù	过去
327	hái	还
328	háishì	还是
329	háizi	孩子
330	hǎiyáng	海洋
331	hàipà	害怕
332	hàixiū	害羞
333	hánjià	寒假
334	hàn	汗
335	Hànyǔ	汉语
336	hángbān	航班
337	hǎo	好
338	hǎochī	好吃
339	hǎochu	好处
340	hǎoxiàng	好像
341	hào	号
342	hàomǎ	号码
343	hē	喝
344	hé	和
345	hé	河
346	hégé	合格
347	héshì	合适
348	hézi	盒子
349	hēi	黑
350	hēibǎn	黑板
351	hěn	很
352	hóng	红
353	hóuzi	猴子
354	hòu	厚
355	hòuhuǐ	后悔
356	hòulái	后来
357	hòumiàn	后面
358	hūrán	忽然
359	hùshi	护士
360	hùzhào	护照
361	hùxiāng	互相
362	huā	花（动）
363	huāyuán	花园
364	huà	画
365	huáiyí	怀疑
366	huài	坏
367	huānyíng	欢迎
368	huán	还
369	huánjìng	环境
370	huàn	换
371	huáng	黄
372	huí	回
373	huídá	回答
374	huíyì	回忆
375	huì	会
376	huìyì	会议
377	huódòng	活动
378	huópō	活泼
379	huǒ	火
380	huǒchēzhàn	火车站
381	huòdé	获得
382	huòzhě	或者
383	jīchǎng	机场
384	jīhuì	机会
385	jīchǔ	基础
386	jīdàn	鸡蛋
387	jīdòng	激动
388	jīhū	几乎
389	jījí	积极
390	jīlěi	积累
391	jí	极
392	jíqí	极其
393	jíhé	集合
394	jíshí	及时
395	jíshǐ	即使
396	jǐ	几
397	jì	寄
398	jìde	记得
399	jìzhě	记者
400	jìhuà	计划
401	jìjié	季节
402	jìrán	既然
403	jìshù	技术
404	jìxù	继续
405	jiā	家
406	jiājù	家具
407	jiābān	加班
408	jiāyóuzhàn	加油站
409	jiǎ	假
410	jiàgé	价格
411	jiānchí	坚持
412	jiǎnchá	检查
413	jiǎndān	简单
414	jiǎnféi	减肥
415	jiǎnshǎo	减少
416	jiàn	件
417	jiànkāng	健康
418	jiànmiàn	见面
419	jiānglái	将来
420	jiǎng	讲
421	jiǎngjīn	奖金
422	jiàngdī	降低
423	jiāo	教
424	jiāo	交
425	jiāoliú	交流
426	jiāotōng	交通
427	jiāo'ào	骄傲
428	jiǎo	角
429	jiǎo	脚
430	jiǎozi	饺子
431	jiào	叫
432	jiàoshì	教室
433	jiàoshòu	教授
434	jiàoyù	教育
435	jiē	接
436	jiēshòu	接受
437	jiēdào	街道
438	jiéguǒ	结果
439	jiéhūn	结婚
440	jiéshù	结束
441	jiémù	节目
442	jiérì	节日
443	jiéyuē	节约
444	jiějie	姐姐
445	jiějué	解决
446	jiěshì	解释
447	jiè	借
448	jièshào	介绍
449	jīntiān	今天
450	jǐnguǎn	尽管
451	jǐnzhāng	紧张
452	jìn	近
453	jìn	进
454	jìnxíng	进行
455	jìnzhǐ	禁止
456	jīngcǎi	精彩
457	jīngshén	精神
458	jīngcháng	经常
459	jīngguò	经过
460	jīngjì	经济
461	jīnglǐ	经理
462	jīnglì	经历
463	jīngyàn	经验
464	jīngjù	京剧
465	jǐngchá	警察
466	jìngrán	竟然
467	jìngzhēng	竞争
468	jìngzi	镜子
469	jiūjìng	究竟
470	jiǔ	九
471	jiǔ	久
472	jiù	旧
473	jiù	就
474	jǔbàn	举办
475	jǔxíng	举行
476	jùjué	拒绝
477	jùlí	距离
478	jùzi	句子
479	juéde	觉得
480	juédìng	决定
481	kāfēi	咖啡
482	kāi	开
483	kāishǐ	开始
484	kāiwánxiào	开玩笑
485	kàn	看
486	kànfǎ	看法
487	kànjiàn	看见
488	kǎolǜ	考虑
489	kǎoshì	考试
490	kē	棵
491	kēxué	科学
492	késou	咳嗽
493	kě	渴
494	kě'ài	可爱
495	kělián	可怜
496	kěnéng	可能
497	kěshì	可是
498	kěxī	可惜
499	kěyǐ	可以
500	kè	刻
501	kè	课
502	kèrén	客人
503	kěndìng	肯定
504	kōngqì	空气
505	kōngtiáo	空调
506	kǒngpà	恐怕
507	kǒu	口
508	kū	哭
509	kǔ	苦
510	kùzi	裤子
511	kuài	块
512	kuài	快
513	kuàilè	快乐
514	kuàizi	筷子
515	kuān	宽
516	kùn	困
517	kùnnan	困难
518	kuòdà	扩大
519	lā	拉
520	lājītǒng	垃圾桶
521	là	辣
522	lái	来
523	láibují	来不及
524	láidejí	来得及
525	lán	蓝
526	lǎn	懒
527	làngfèi	浪费
528	làngmàn	浪漫
529	lǎo	老
530	lǎohǔ	老虎
531	lǎoshī	老师
532	le	了
533	lèi	累
534	lěng	冷
535	lěngjìng	冷静
536	lí	离
537	líkāi	离开
538	lǐ	里
539	lǐfà	理发
540	lǐjiě	理解
541	lǐxiǎng	理想
542	lǐmào	礼貌
543	lǐwù	礼物
544	lìhai	厉害
545	lìqi	力气
546	lìrú	例如
547	lìshǐ	历史
548	liǎ	俩
549	lián	连
550	liánxì	联系
551	liǎn	脸
552	liànxí	练习
553	liángkuai	凉快
554	liǎng	两
555	liàng	亮
556	liàng	辆
557	liáotiān	聊天
558	liǎojiě	了解
559	línjū	邻居
560	líng	零
561	lìngwài	另外
562	liú	留
563	liúxué	留学
564	liúlèi	流泪
565	liúlì	流利
566	liúxíng	流行
567	liù	六
568	lóu	楼
569	lù	路
570	luàn	乱
571	lǚyóu	旅游
572	lǜ	绿
573	lǜshī	律师
574	māma	妈妈
575	máfan	麻烦
576	mǎ	马
577	mǎhu	马虎
578	mǎshàng	马上
579	ma	吗
580	mǎi	买
581	mài	卖
582	mǎn	满
583	mǎnyì	满意
584	màn	慢
585	máng	忙
586	māo	猫
587	máojīn	毛巾
588	màozi	帽子
589	méi	没
590	méiguānxi	没关系
591	měi	每
592	měilì	美丽
593	mèimei	妹妹
594	mén	门
595	mèng	梦
596	mǐ	米
597	mǐfàn	米饭
598	mìmǎ	密码
599	miǎnfèi	免费
600	miànbāo	面包
601	miàntiáo	面条
602	mínzú	民族
603	míngbai	明白
604	míngtiān	明天
605	míngzi	名字
606	mǔqīn	母亲
607	mùdì	目的
608	ná	拿
609	nǎ	哪
610	nà	那
611	nǎinai	奶奶
612	nàixīn	耐心
613	nán	南
614	nán	难
615	nándào	难道
616	nánguò	难过
617	nánshòu	难受
618	nánrén	男人
619	ne	呢
620	nèi	内
621	nèiróng	内容
622	néng	能
623	nénglì	能力
624	nǐ	你
625	nián	年
626	niánjí	年级
627	niánlíng	年龄
628	niánqīng	年轻
629	niǎo	鸟
630	nín	您
631	niúnǎi	牛奶
632	nóngcūn	农村
633	nòng	弄
634	nǔlì	努力
635	nuǎnhuo	暖和
636	nǚ'ér	女儿
637	nǚrén	女人
638	ǒu'ěr	偶尔
639	páshān	爬山
640	páiliè	排列
641	pánzi	盘子
642	pànduàn	判断
643	pángbiān	旁边
644	pàng	胖
645	pǎobù	跑步
646	péi	陪
647	péngyou	朋友
648	pīpíng	批评
649	pífū	皮肤
650	píjiǔ	啤酒
651	píqi	脾气
652	piān	篇
653	piányi	便宜
654	piàn	骗
655	piào	票
656	piàoliang	漂亮
657	pīngpāngqiú	乒乓球
658	píngguǒ	苹果
659	píngshí	平时
660	píngzi	瓶子
661	pò	破
662	pútao	葡萄
663	pǔbiàn	普遍
664	pǔtōnghuà	普通话
665	qī	七
666	qīzi	妻子
667	qí	骑
668	qícì	其次
669	qíshí	其实
670	qítā	其他
671	qízhōng	其中
672	qíguài	奇怪
673	qǐchuáng	起床
674	qǐfēi	起飞
675	qǐlái	起来
676	qìhòu	气候
677	qiān	千
678	qiānwàn	千万
679	qiānbǐ	铅笔
680	qiānzhèng	签证
681	qián	钱
682	qiánmiàn	前面
683	qiáng	墙
684	qiāo	敲
685	qiáo	桥
686	qiǎokèlì	巧克力
687	qīnqi	亲戚
688	qīng	轻
689	qīngsōng	轻松
690	qīngchu	清楚
691	qíng	晴
692	qíngkuàng	情况
693	qǐng	请
694	qǐngjià	请假
695	qǐngkè	请客
696	qióng	穷
697	qiū	秋
698	qūbié	区别
699	qǔ	取
700	qù	去
701	qùnián	去年
702	quánbù	全部
703	quēdiǎn	缺点
704	quēshǎo	缺少
705	què	却
706	quèshí	确实
707	qún	群
708	qúnzi	裙子
709	rán'ér	然而
710	ránhòu	然后
711	ràng	让
712	rè	热
713	rènao	热闹
714	rèqíng	热情
715	rén	人
716	rénmínbì	人民币
717	rènhé	任何
718	rènwu	任务
719	rènshi	认识
720	rènwéi	认为
721	rènzhēn	认真
722	rēng	扔
723	réngrán	仍然
724	rì	日
725	rìjì	日记
726	róngyì	容易
727	rúguǒ	如果
728	rùkǒu	入口
729	ruǎn	软
730	sān	三
731	sǎn	伞
